,FixationSeq,FixationX,FixationY,FixationStart,FixationDuration
34723,380.0,308.0,643.0,290084.0,234.0
34820,381.0,315.0,665.0,290894.0,275.0
34889,382.0,407.0,665.0,291468.0,102.0
34955,383.0,424.0,574.0,292019.0,167.0
34976,384.0,356.0,486.0,292195.0,242.0
35030,385.0,387.0,619.0,292643.0,175.0
35116,386.0,549.0,542.0,293357.0,213.0
35206,387.0,428.0,606.0,294112.0,108.0
35242,388.0,376.0,645.0,294409.0,259.0
35285,389.0,382.0,636.0,294770.0,323.0
35326,390.0,414.0,650.0,295109.0,109.0
35347,391.0,495.0,564.0,295284.0,360.0
35411,392.0,312.0,637.0,295819.0,476.0
35470,393.0,312.0,650.0,296309.0,250.0
35503,394.0,309.0,640.0,296587.0,497.0
35564,395.0,340.0,638.0,297092.0,201.0
35687,396.0,641.0,498.0,298118.0,117.0
35924,397.0,708.0,500.0,300093.0,116.0
36086,398.0,507.0,540.0,301443.0,192.0
36182,399.0,314.0,536.0,302243.0,591.0
36315,400.0,527.0,774.0,303350.0,168.0
36464,401.0,487.0,790.0,304594.0,123.0
36506,402.0,466.0,697.0,304943.0,149.0
36620,404.0,471.0,783.0,305892.0,100.0
36641,405.0,567.0,808.0,306068.0,129.0
36716,406.0,449.0,781.0,306692.0,125.0
36735,407.0,531.0,785.0,306849.0,176.0
36770,408.0,323.0,761.0,307142.0,125.0
36805,409.0,312.0,776.0,307433.0,250.0
36857,410.0,316.0,787.0,307866.0,451.0
36913,411.0,306.0,774.0,308333.0,177.0
36952,412.0,380.0,900.0,308658.0,199.0
36982,413.0,376.0,754.0,308908.0,225.0
37013,414.0,418.0,780.0,309167.0,100.0
37056,415.0,695.0,707.0,309524.0,219.0
37103,416.0,302.0,739.0,309925.0,175.0
37132,417.0,329.0,767.0,310166.0,174.0
37154,418.0,288.0,756.0,310349.0,126.0
37175,419.0,325.0,772.0,310524.0,167.0
37235,420.0,379.0,772.0,311024.0,125.0
37273,421.0,325.0,771.0,311341.0,400.0
37322,422.0,320.0,756.0,311749.0,127.0
37339,423.0,312.0,750.0,311890.0,134.0
37357,424.0,307.0,766.0,312040.0,460.0
37499,425.0,479.0,718.0,313225.0,116.0
37516,426.0,525.0,736.0,313357.0,159.0
37570,427.0,314.0,720.0,313807.0,300.0
37607,428.0,314.0,750.0,314116.0,165.0
37696,429.0,316.0,788.0,314858.0,358.0
37906,430.0,389.0,786.0,316615.0,126.0
37922,431.0,328.0,781.0,316750.0,341.0
37964,432.0,383.0,780.0,317101.0,215.0
37991,433.0,326.0,780.0,317325.0,191.0
38036,434.0,375.0,773.0,317702.0,127.0
38066,435.0,370.0,849.0,317950.0,165.0
38117,436.0,418.0,691.0,318375.0,166.0
38143,437.0,474.0,647.0,318591.0,108.0
38170,438.0,507.0,573.0,318821.0,228.0
38285,439.0,377.0,533.0,319767.0,190.0
38335,440.0,372.0,586.0,320185.0,456.0
38393,441.0,306.0,578.0,320666.0,140.0
38516,442.0,351.0,640.0,321692.0,115.0
38531,443.0,369.0,679.0,321815.0,171.0
38684,444.0,275.0,548.0,323091.0,241.0
38788,445.0,323.0,560.0,323956.0,556.0
38884,446.0,514.0,579.0,324756.0,111.0
38900,447.0,316.0,560.0,324891.0,121.0
40634,449.0,567.0,593.0,339514.0,217.0
40730,450.0,307.0,606.0,340314.0,134.0
40748,451.0,324.0,638.0,340464.0,184.0
40773,452.0,414.0,732.0,340673.0,200.0
40814,453.0,486.0,713.0,341014.0,125.0
40836,454.0,470.0,618.0,341199.0,150.0
40862,455.0,423.0,559.0,341414.0,109.0
40877,456.0,444.0,579.0,341543.0,130.0
40904,457.0,505.0,611.0,341765.0,158.0
40926,458.0,576.0,607.0,341948.0,167.0
40950,459.0,334.0,571.0,342147.0,192.0
40976,460.0,277.0,567.0,342364.0,236.0
41009,461.0,416.0,571.0,342639.0,199.0
41039,462.0,336.0,581.0,342889.0,109.0
41055,463.0,436.0,522.0,343022.0,152.0
41138,464.0,447.0,612.0,343714.0,183.0
41165,465.0,570.0,610.0,343938.0,161.0
41189,466.0,433.0,669.0,344139.0,158.0
41211,467.0,537.0,687.0,344322.0,141.0
41234,468.0,431.0,681.0,344513.0,201.0
41262,469.0,463.0,616.0,344747.0,125.0
41280,470.0,476.0,551.0,344898.0,132.0
41319,471.0,488.0,498.0,345223.0,100.0
41343,472.0,593.0,491.0,345424.0,223.0
41378,473.0,446.0,482.0,345713.0,160.0
41462,474.0,400.0,549.0,346413.0,828.0
41579,475.0,400.0,555.0,347389.0,283.0
41618,476.0,333.0,556.0,347714.0,208.0
41649,477.0,422.0,550.0,347972.0,150.0
41675,478.0,300.0,558.0,348188.0,275.0
41711,479.0,375.0,637.0,348488.0,184.0
41738,480.0,534.0,631.0,348713.0,150.0
41765,481.0,750.0,632.0,348937.0,160.0
41814,482.0,398.0,518.0,349347.0,327.0
41870,483.0,370.0,538.0,349816.0,174.0
41972,484.0,340.0,561.0,350664.0,129.0
42017,485.0,302.0,565.0,351039.0,134.0
42035,486.0,376.0,540.0,351189.0,109.0
42065,487.0,422.0,539.0,351439.0,204.0
42235,488.0,444.0,573.0,352854.0,222.0
42273,489.0,668.0,585.0,353173.0,200.0
42345,490.0,478.0,509.0,353772.0,350.0
42428,491.0,375.0,505.0,354463.0,160.0
42450,492.0,386.0,529.0,354645.0,302.0
42557,493.0,672.0,536.0,355538.0,638.0
42692,494.0,654.0,541.0,356663.0,125.0
42954,495.0,692.0,552.0,358847.0,174.0
42996,496.0,675.0,530.0,359196.0,202.0
43052,497.0,328.0,510.0,359662.0,160.0
43107,498.0,270.0,469.0,360121.0,150.0
43218,499.0,627.0,521.0,361046.0,116.0
43254,500.0,397.0,500.0,361346.0,150.0
43317,501.0,447.0,623.0,361871.0,266.0
43358,502.0,518.0,555.0,362212.0,161.0
43407,503.0,507.0,530.0,362620.0,366.0
43469,504.0,464.0,584.0,363139.0,378.0
43603,505.0,446.0,489.0,364343.0,165.0
43624,506.0,391.0,476.0,364517.0,216.0
43860,507.0,330.0,481.0,366570.0,176.0
43893,508.0,322.0,505.0,366901.0,342.0
44032,509.0,364.0,570.0,368002.0,266.0
44068,510.0,519.0,540.0,368301.0,150.0
44110,511.0,347.0,565.0,368651.0,242.0
44140,512.0,368.0,592.0,368901.0,325.0
44181,513.0,355.0,571.0,369244.0,225.0
44224,514.0,425.0,547.0,369674.0,348.0
44298,515.0,567.0,560.0,370213.0,152.0
44317,516.0,366.0,596.0,370374.0,114.0
44463,517.0,411.0,557.0,371589.0,349.0
44521,518.0,518.0,576.0,372072.0,115.0
44539,519.0,339.0,560.0,372222.0,1017.0
44648,520.0,429.0,547.0,373252.0,186.0
44677,521.0,373.0,648.0,373459.0,167.0
44943,522.0,529.0,497.0,375766.0,107.0
44968,523.0,398.0,509.0,375972.0,216.0
45144,524.0,421.0,530.0,377439.0,108.0
45262,526.0,484.0,496.0,378422.0,116.0
45426,527.0,476.0,538.0,379788.0,209.0
45591,528.0,427.0,524.0,381251.0,395.0
45602,529.0,521.0,552.0,381744.0,500.0
45769,530.0,353.0,533.0,382647.0,1052.0
45922,531.0,344.0,543.0,383922.0,424.0
45975,532.0,298.0,539.0,384365.0,806.0
46090,533.0,306.0,515.0,385322.0,119.0
46120,534.0,445.0,631.0,385572.0,128.0
46141,535.0,423.0,588.0,385746.0,219.0
46201,536.0,401.0,546.0,386247.0,201.0
46899,537.0,388.0,628.0,392143.0,119.0
46914,538.0,334.0,614.0,392269.0,137.0
46935,539.0,623.0,589.0,392443.0,158.0
46958,540.0,405.0,634.0,392634.0,160.0
46992,541.0,299.0,606.0,392920.0,173.0
47045,542.0,321.0,596.0,393364.0,366.0
47093,543.0,412.0,681.0,393755.0,225.0
47123,544.0,618.0,674.0,394010.0,103.0
47177,545.0,427.0,586.0,394457.0,251.0
47405,546.0,404.0,580.0,396356.0,193.0
47429,547.0,362.0,583.0,396555.0,1067.0
47693,548.0,379.0,582.0,398750.0,2003.0
48132,549.0,359.0,656.0,402403.0,299.0
48179,550.0,458.0,679.0,402794.0,217.0
48208,551.0,570.0,692.0,403037.0,199.0
48238,552.0,686.0,679.0,403285.0,117.0
48268,553.0,493.0,631.0,403623.0,200.0
48293,554.0,580.0,637.0,403831.0,103.0
48308,555.0,337.0,640.0,403958.0,150.0
48399,556.0,501.0,682.0,404714.0,119.0
48418,557.0,421.0,676.0,404872.0,285.0
48461,558.0,471.0,722.0,405231.0,107.0
48482,559.0,337.0,692.0,405407.0,215.0
48525,560.0,312.0,693.0,405763.0,448.0
48582,561.0,439.0,705.0,406236.0,217.0
48609,562.0,374.0,701.0,406461.0,125.0
48642,563.0,696.0,696.0,406739.0,107.0
48656,564.0,753.0,706.0,406852.0,109.0
48696,565.0,398.0,749.0,407186.0,121.0
48713,566.0,538.0,733.0,407331.0,224.0
48776,567.0,404.0,750.0,407856.0,124.0
48795,568.0,492.0,746.0,408010.0,176.0
48817,569.0,567.0,745.0,408196.0,158.0
48851,570.0,398.0,794.0,408477.0,176.0
49035,571.0,292.0,828.0,410011.0,151.0
49141,572.0,474.0,766.0,410890.0,854.0
49249,573.0,537.0,896.0,411786.0,109.0
49282,574.0,423.0,835.0,412061.0,103.0
49429,575.0,548.0,944.0,413288.0,282.0
49486,576.0,673.0,935.0,413763.0,131.0
49504,577.0,814.0,953.0,413912.0,207.0
49694,580.0,481.0,916.0,415494.0,474.0
49787,581.0,518.0,923.0,416269.0,118.0
49822,582.0,571.0,906.0,416563.0,106.0
49844,583.0,423.0,931.0,416744.0,116.0
49859,584.0,400.0,909.0,416869.0,759.0
