,StudyName,ExportDate,Name,Age,Gender,StimulusName,SlideType,EventSource,UTCTimestamp,Timestamp,MediaTime,TimeSignal,GazeLeftx,GazeLefty,GazeRightx,GazeRighty,PupilLeft,PupilRight,DistanceLeft,DistanceRight,CameraLeftX,CameraLeftY,CameraRightX,CameraRightY,ValidityLeft,ValidityRight,GazeX,GazeY,GazeAOI,InterpolatedGazeX,InterpolatedGazeY,GazeEventType,GazeVelocityAngle,SaccadeSeq,SaccadeStart,SaccadeDuration,FixationSeq,FixationX,FixationY,FixationStart,FixationDuration,FixationAOI,PostMarker,Annotation,LiveMarker,KeyStroke,MarkerText,SceneType,SceneOutput,SceneParent Current_task
8336,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211233726,20170609_141233726,68770,75878,962,668,-1,-1,-1,-1,540.0029,-1,0.4456239,0.5200685,-1,-1,0,4,962,668,,962,668,,0,,,,52,963,676,68770,150,,,,,,,,,
8364,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211233959,20170609_141233959,69003,76111,964,682,1000,711,3.181427,3.101974,541.0529,527.6822,0.4446462,0.5196559,0.3165885,0.5168357,0,0,982,696,,982,696,,0,,,,53,977,686,69003,160,,,,,,,,,
8467,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211234820,20170609_141234820,69864,76970,-1,-1,538,205,-1,-1,-1,523.6966,-1,-1,0.3393114,0.5072173,4,0,538,205,,538,205,,0,,,,54,536,212,69864,165,,,,,,,,,
8498,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211235076,20170609_141235076,70121,77228,-1,-1,482,212,-1,-1,-1,522.4751,-1,-1,0.3476588,0.5046819,4,0,482,212,,482,212,,0,,,,55,474,216,70121,153,,,,,,,,,
8549,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211235503,20170609_141235503,70548,77653,438,832,488,869,-1,-1,550.197,536.2573,0.4713104,0.5199673,0.348414,0.5101985,0,0,463,850,,463,850,,0,,,,56,467,871,70548,148,,,,,,,,,
8700,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211237627,20170609_141237627,72672,79783,-1,-1,408,171,-1,3.476944,-1,533.1744,-1,-1,0.3768241,0.5001854,4,0,408,171,,408,171,,0,,,,57,417,160,72672,103,,,,,,,,,
8714,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211237746,20170609_141237746,72791,79899,-1,-1,451,127,-1,-1,-1,530.9246,-1,-1,0.3684804,0.4957494,4,0,451,127,,451,127,,0,,,,58,462,111,72791,109,,,,,,,,,
9061,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211240727,20170609_141240727,75772,82879,845,37,848,28,3.025116,2.961121,536.0329,524.4235,0.4606478,0.4892265,0.3354026,0.484391,0,0,846,32,,846,32,,0,,,,59,848,33,75772,185,,,,,,,,,
9134,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211241335,20170609_141241335,76380,83488,-1,-1,703,279,-1,-1,-1,489.1004,-1,-1,0.3386368,0.4620539,4,0,703,279,,703,279,,0,,,,60,704,279,76380,856,,,,,,,,,
9376,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211243352,20170609_141243352,78397,85504,537,226,608,294,2.810318,2.694855,510.006,497.2178,0.4641396,0.4909579,0.3381435,0.4843808,0,0,572,260,,572,260,,0,,,,61,568,269,78397,126,,,,,,,,,
