Participant,Task,AOI,NumberOfFixations,TotalFixationDuration,FixationDurationAverage,NumberOfSaccades,TotalSaccadeLength,SaccadeLengthAverage,TotalSaccadeAbsAngle,SaccadeAbsAngleAverage,TotalSaccadeRelAngle,SaccadeRelAngleAverage,LongestFixationDurationInAOI,ProportionOfTotalFixations,ProportionOfTotalFixationDuration
30,CL2,Answers_AOI,1,121,121.0,1,24.35159132,24.35159132,160.820992,160.820992,119.4138108,119.4138108,121,0.030303030303030304,0.0188855938816919
30,CL2,XAxis_AOI,2,860,430.0,2,991.1119051000001,495.55595255000003,250.91958750000003,125.45979375000002,109.98291274,54.99145637,502,0.06060606060606061,0.1342281879194631
30,CL2,YAxis_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,CL2,Graph_AOI,11,1586,144.1818181818182,11,2435.8937628999997,221.4448875363636,881.1727328840001,80.10661208036365,1188.1594206010002,108.01449278190911,225,0.3333333333333333,0.2475417512096145
30,CL2,NoAOI_AOI,16,3360,210.0,16,3078.007242,192.375452625,1647.0894987240001,102.94309367025001,1461.637246213,91.3523278883125,651,0.48484848484848486,0.5244264086155768
30,CH8,Question_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,CH8,Title_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,CH8,LabelBox_AOI,5,1387,277.4,5,934.7507415700001,186.95014831400002,377.83529997999995,75.56705999599998,319.71730852,63.943461704,459,0.11627906976744186,0.14644704888607327
30,CH8,OptionBox_AOI,3,417,139.0,3,1119.8419655300002,373.2806551766667,79.981950115,26.660650038333333,146.851469037,48.95048967899999,166,0.06976744186046512,0.0440291415901172
30,CH8,Answers_AOI,1,161,161.0,1,666.300983,666.300983,127.8674418,127.8674418,151.06603230000005,151.06603230000005,161,0.023255813953488372,0.016999260901699925
30,CH8,XAxis_AOI,1,301,301.0,1,328.1843994,328.1843994,178.07921509999997,178.07921509999997,168.2830052,168.2830052,301,0.023255813953488372,0.031781226903178125
30,CH8,YAxis_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,CH8,Graph_AOI,11,2800,254.54545454545453,11,2199.818086772,199.98346243381818,1328.85243894,120.80476717636363,685.4097985509999,62.309981686454535,657,0.2558139534883721,0.29563932002956395
