Current_task,FixationX,FixationY,SaccadeLength
pretask,306.0,578.0,66.48308055437865
pretask,351.0,640.0,76.60939890117922
pretask,369.0,679.0,42.95346318982906
pretask,275.0,548.0,161.23585209251695
pretask,323.0,560.0,49.47726750741192
pretask,514.0,579.0,191.94269978303421
pretask,316.0,560.0,198.90952717253137
pretask,567.0,593.0,253.16002844051033
pretask,307.0,606.0,260.3247971285102
pretask,324.0,638.0,36.235341863986875
pretask,414.0,732.0,130.13838787997952
pretask,486.0,713.0,74.46475676452586
pretask,470.0,618.0,96.33794683301072
pretask,423.0,559.0,75.43208866258443
pretask,444.0,579.0,29.0
pretask,505.0,611.0,68.8839603971781
pretask,576.0,607.0,71.11258679024411
pretask,334.0,571.0,244.6630335788388
pretask,277.0,567.0,57.14017850864661
pretask,416.0,571.0,139.05754204644924
pretask,336.0,581.0,80.62257748298549
pretask,436.0,522.0,116.1077086157504
pretask,447.0,612.0,90.6697303403953
pretask,570.0,610.0,123.01625908797584
pretask,433.0,669.0,149.164338901763
pretask,537.0,687.0,105.54619841567009
pretask,431.0,681.0,106.16967551989597
pretask,463.0,616.0,72.44998274671983
pretask,476.0,551.0,66.2872536767062
pretask,488.0,498.0,54.3415126767741
pretask,593.0,491.0,105.23307464861035
pretask,446.0,482.0,147.27525250360293
pretask,400.0,549.0,81.27115109311545
pretask,400.0,555.0,6.0
pretask,333.0,556.0,67.00746227100382
pretask,422.0,550.0,89.20201791439474
pretask,300.0,558.0,122.2620137246234
pretask,375.0,637.0,108.93117092916977
pretask,534.0,631.0,159.11316727411344
pretask,750.0,632.0,216.00231480241132
pretask,398.0,518.0,370.0
pretask,370.0,538.0,34.40930106817051
pretask,340.0,561.0,37.8021163428716
pretask,302.0,565.0,38.2099463490856
pretask,376.0,540.0,78.10889834071403
pretask,422.0,539.0,46.010868281309364
pretask,444.0,573.0,40.496913462633174
pretask,668.0,585.0,224.32119828495925
pretask,478.0,509.0,204.63626267111115
pretask,375.0,505.0,103.07764064044152
pretask,386.0,529.0,26.40075756488817
pretask,672.0,536.0,286.08565151017274
pretask,654.0,541.0,18.681541692269406
pretask,692.0,552.0,39.56008088970496
pretask,675.0,530.0,27.80287754891569
pretask,328.0,510.0,347.57589099360735
pretask,270.0,469.0,71.02816342831905
pretask,627.0,521.0,360.7672379803909
pretask,397.0,500.0,230.95670589961227
pretask,447.0,623.0,132.7742444904131
pretask,518.0,555.0,98.3107318658548
pretask,507.0,530.0,27.313000567495326
pretask,464.0,584.0,69.02897942168927
pretask,446.0,489.0,96.6902270139025
pretask,391.0,476.0,56.515484603779164
pretask,330.0,481.0,61.204574992397426
pretask,322.0,505.0,25.298221281347036
pretask,364.0,570.0,77.38862965578342
pretask,519.0,540.0,157.87653403846943
pretask,347.0,565.0,173.80736463107655
pretask,368.0,592.0,34.20526275297414
pretask,355.0,571.0,24.698178070456937
pretask,425.0,547.0,74.0
pretask,567.0,560.0,142.59382875847047
pretask,366.0,596.0,204.1984329028996
pretask,411.0,557.0,59.54829972383762
pretask,518.0,576.0,108.67382389517726
pretask,339.0,560.0,179.71366113904642
pretask,429.0,547.0,90.93404203047393
pretask,373.0,648.0,115.48592987892508
pretask,529.0,497.0,217.11057090800531
pretask,398.0,509.0,131.54847015454038
pretask,421.0,530.0,31.144823004794873
pretask,484.0,496.0,71.58910531638176
pretask,476.0,538.0,42.7551166528639
pretask,427.0,524.0,50.96076922496363
pretask,521.0,552.0,98.08159868191383
pretask,353.0,533.0,169.07099100673656
pretask,344.0,543.0,13.45362404707371
pretask,298.0,539.0,46.17358552246078
pretask,306.0,515.0,25.298221281347036
pretask,445.0,631.0,181.04419349981927
pretask,423.0,588.0,48.30113870293329
pretask,401.0,546.0,47.41307836451879
pretask,388.0,628.0,83.02409288875127
pretask,334.0,614.0,55.78530272392541
pretask,623.0,589.0,290.07929950273945
pretask,405.0,634.0,222.59604668547013
pretask,299.0,606.0,109.63576058932597
pretask,321.0,596.0,24.166091947189145
pretask,412.0,681.0,124.52309022827855
pretask,618.0,674.0,206.11889772653063
pretask,427.0,586.0,210.2974084481309
pretask,404.0,580.0,23.769728648009426
pretask,362.0,583.0,42.1070065428546
pretask,379.0,582.0,17.029386365926403
pretask,359.0,656.0,76.6550715869472
pretask,458.0,679.0,101.6366075781753
pretask,570.0,692.0,112.75194011634566
pretask,686.0,679.0,116.72617529928752
pretask,493.0,631.0,198.8793604173143
pretask,580.0,637.0,87.20665112249179
pretask,337.0,640.0,243.01851781294363
pretask,501.0,682.0,169.29264603047588
pretask,421.0,676.0,80.22468448052632
pretask,471.0,722.0,67.94115100585212
pretask,337.0,692.0,137.31715115017496
pretask,312.0,693.0,25.019992006393608
pretask,439.0,705.0,127.56566936288148
pretask,374.0,701.0,65.12296062065974
pretask,696.0,696.0,322.03881753602315
pretask,753.0,706.0,57.87054518492115
pretask,398.0,749.0,357.59474269066095
pretask,538.0,733.0,140.91131963046828
pretask,404.0,750.0,135.07405376311175
pretask,492.0,746.0,88.09086218218096
pretask,567.0,745.0,75.0066663703967
pretask,398.0,794.0,175.96022277776305
pretask,292.0,828.0,111.31936040060597
pretask,474.0,766.0,192.27064258487306
pretask,537.0,896.0,144.46106741956464
pretask,423.0,835.0,129.29423807734048
pretask,548.0,944.0,165.8493292117879
